DELIVERY_START,spot_id_delta
2023-04-02 00:00:00+02:00,0.15581541472025717
2023-04-02 01:00:00+02:00,0.09575498342868005
2023-04-02 02:00:00+02:00,0.1291701060155187
2023-04-02 03:00:00+02:00,0.06377290009547742
2023-04-02 04:00:00+02:00,0.09142786922393664
2023-04-02 05:00:00+02:00,0.07880345972009739
2023-04-02 06:00:00+02:00,0.04552891833268413
2023-04-02 07:00:00+02:00,0.029431786413519734
2023-04-02 08:00:00+02:00,0.06078956183695661
2023-04-02 09:00:00+02:00,0.14266282451307222
2023-04-02 10:00:00+02:00,0.1623482069001534
2023-04-02 11:00:00+02:00,0.14387664255668753
2023-04-02 12:00:00+02:00,0.10406067613309411
2023-04-02 13:00:00+02:00,0.037415249528530814
2023-04-02 14:00:00+02:00,0.07399967752250547
2023-04-02 15:00:00+02:00,0.048775395060572935
2023-04-02 16:00:00+02:00,0.04160874442312601
2023-04-02 17:00:00+02:00,0.02310731892835738
2023-04-02 18:00:00+02:00,0.014890732789011207
2023-04-02 19:00:00+02:00,-0.18956849255494557
2023-04-02 20:00:00+02:00,-0.12423955231964906
2023-04-02 21:00:00+02:00,0.14042342787106732
2023-04-02 22:00:00+02:00,0.20892898590596987
2023-04-02 23:00:00+02:00,0.16525094463838674
2023-04-03 00:00:00+02:00,1.0
2023-04-03 01:00:00+02:00,0.05987720079256076
2023-04-03 02:00:00+02:00,0.13300598940087094
2023-04-03 03:00:00+02:00,0.060535593781935515
2023-04-03 04:00:00+02:00,0.11212440075833519
2023-04-03 05:00:00+02:00,0.10210408643338165
2023-04-03 06:00:00+02:00,0.10139729731193026
2023-04-03 07:00:00+02:00,0.0650041078659791
2023-04-03 08:00:00+02:00,0.0967596568048823
2023-04-03 09:00:00+02:00,0.21560256976825287
2023-04-03 10:00:00+02:00,0.22787437342002526
2023-04-03 11:00:00+02:00,0.22314802240931852
2023-04-03 12:00:00+02:00,0.12418609961614391
2023-04-03 13:00:00+02:00,0.08110961862124588
